iter	Passed	Remaining
0	137	137723
1	138	69154
2	139	46249
3	139	34792
4	140	27917
5	140	23331
6	141	20061
7	142	17615
8	142	15703
9	143	14171
10	143	12916
11	144	11871
12	144	10983
13	145	10224
14	145	9565
15	146	8987
16	146	8477
17	147	8024
18	147	7619
19	148	7254
20	148	6924
21	149	6624
22	149	6346
23	149	6098
24	150	5877
25	151	5669
26	151	5473
27	152	5286
28	152	5116
29	153	4959
30	153	4811
31	154	4673
32	155	4544
33	155	4420
34	156	4303
35	156	4192
36	157	4087
37	157	3988
38	158	3894
39	158	3804
40	159	3719
41	159	3638
42	159	3557
43	160	3483
44	160	3413
45	161	3342
46	161	3277
47	162	3216
48	162	3157
49	163	3100
50	163	3046
51	163	2989
52	164	2938
53	165	2893
54	165	2848
55	166	2804
56	166	2761
57	167	2719
58	167	2678
59	168	2639
60	168	2600
61	169	2562
62	169	2527
63	170	2492
64	170	2458
65	171	2425
66	171	2394
67	172	2363
68	172	2332
69	173	2303
70	173	2275
71	174	2247
72	174	2220
73	175	2193
74	175	2168
75	176	2143
76	176	2119
77	177	2095
78	177	2073
79	178	2051
80	178	2030
81	179	2010
82	180	1990
83	180	1971
84	181	1951
85	181	1931
86	182	1912
87	182	1893
88	183	1875
89	183	1857
90	184	1840
91	184	1823
92	185	1807
93	185	1790
94	186	1775
95	186	1759
96	187	1742
97	187	1727
98	188	1712
99	188	1698
100	189	1683
101	189	1669
102	190	1656
103	190	1644
104	191	1632
105	192	1621
106	192	1609
107	193	1597
108	193	1585
109	194	1576
110	195	1564
111	195	1553
112	196	1540
113	196	1530
114	197	1522
115	198	1513
116	199	1503
117	199	1493
118	200	1483
119	200	1473
120	201	1463
121	201	1452
122	202	1443
123	203	1434
124	203	1425
125	204	1417
126	205	1409
127	205	1400
128	206	1392
129	206	1384
130	207	1376
131	208	1369
132	208	1361
133	209	1354
134	210	1347
135	210	1339
136	211	1332
137	212	1325
138	212	1316
139	213	1309
140	213	1302
141	214	1295
142	215	1288
143	215	1282
144	216	1275
145	216	1269
146	217	1262
147	218	1256
148	218	1250
149	219	1244
150	220	1239
151	221	1234
152	221	1228
153	222	1223
154	223	1219
155	224	1213
156	225	1208
157	225	1202
158	226	1197
159	227	1191
160	227	1186
161	228	1181
162	229	1175
163	229	1170
164	230	1165
165	230	1160
166	231	1153
167	232	1149
168	232	1144
169	233	1140
170	234	1135
171	234	1130
172	235	1125
173	236	1120
174	236	1116
175	237	1112
176	238	1107
177	238	1103
178	239	1098
179	240	1094
180	241	1090
181	241	1086
182	242	1081
183	242	1077
184	243	1073
185	244	1068
186	244	1064
187	245	1061
188	246	1056
189	246	1052
190	247	1048
191	248	1044
192	248	1040
193	249	1036
194	250	1032
195	250	1028
196	251	1025
197	252	1020
198	252	1017
199	253	1013
200	254	1009
201	254	1006
202	255	1002
203	255	998
204	256	995
205	257	991
206	257	988
207	258	984
208	259	981
209	259	977
210	260	974
211	261	970
212	261	967
213	262	963
214	263	960
215	263	957
216	264	953
217	264	950
218	265	947
219	266	943
220	266	940
221	267	937
222	268	934
223	268	931
224	269	928
225	270	925
226	270	922
227	271	919
228	272	916
229	272	913
230	273	911
231	274	908
232	275	906
233	276	903
234	276	900
235	277	898
236	278	895
237	278	891
238	279	888
239	279	885
240	280	883
241	281	880
242	281	877
243	282	875
244	283	873
245	284	870
246	284	867
247	285	865
248	286	862
249	286	859
250	287	857
251	288	855
252	288	852
253	289	850
254	290	847
255	290	844
256	291	842
257	292	840
258	293	838
259	293	836
260	294	834
261	295	832
262	296	830
263	297	828
264	297	825
265	298	823
266	298	820
267	299	818
268	300	815
269	300	813
270	301	811
271	302	808
272	302	806
273	303	804
274	304	801
275	304	799
276	305	796
277	305	794
278	306	792
279	307	790
280	307	787
281	308	785
282	309	783
283	309	781
284	310	779
285	311	777
286	311	775
287	312	772
288	313	770
289	313	768
290	314	765
291	314	763
292	315	761
293	316	759
294	316	757
295	317	754
296	317	752
297	318	750
298	319	748
299	319	746
300	320	743
301	320	741
302	321	739
303	322	737
304	322	735
305	323	733
306	323	731
307	324	729
308	325	727
309	325	724
310	326	722
311	326	720
312	327	718
313	328	716
314	328	714
315	329	712
316	329	710
317	330	708
318	331	707
319	331	705
320	332	703
321	333	701
322	333	699
323	334	697
324	334	695
325	335	693
326	335	691
327	336	689
328	337	687
329	337	685
330	338	683
331	338	681
332	339	680
333	340	678
334	340	676
335	341	674
336	341	672
337	342	670
338	343	669
339	343	667
340	344	665
341	344	663
342	345	661
343	346	660
344	346	658
345	347	656
346	347	654
347	348	652
348	349	651
349	349	649
350	350	647
351	350	645
352	351	643
353	351	642
354	352	640
355	353	638
356	353	637
357	354	635
358	354	633
359	355	632
360	356	630
361	356	628
362	357	627
363	358	625
364	358	624
365	359	622
366	360	621
367	360	619
368	361	618
369	362	616
370	362	615
371	363	613
372	364	612
373	364	610
374	365	608
375	365	607
376	366	605
377	367	603
378	367	602
379	368	600
380	368	599
381	369	597
382	369	596
383	370	594
384	371	592
385	371	591
386	372	589
387	373	588
388	373	586
389	374	585
390	374	583
391	375	582
392	375	580
393	376	579
394	377	577
395	377	576
396	378	574
397	378	573
398	379	571
399	380	570
400	380	568
401	381	567
402	381	565
403	382	564
404	383	562
405	383	561
406	384	559
407	384	558
408	385	557
409	386	555
410	386	554
411	387	552
412	387	551
413	388	549
414	389	548
415	389	546
416	390	545
417	390	544
418	391	542
419	391	541
420	392	539
421	393	538
422	393	536
423	394	535
424	394	534
425	395	532
426	395	531
427	396	529
428	397	528
429	397	527
430	398	525
431	399	524
432	399	523
433	400	521
434	400	520
435	401	519
436	401	517
437	402	516
438	403	515
439	403	513
440	404	512
441	404	511
442	405	509
443	406	508
444	406	507
445	407	505
446	407	504
447	408	503
448	408	501
449	409	500
450	410	499
451	410	497
452	411	496
453	411	495
454	412	494
455	413	492
456	413	491
457	414	490
458	414	488
459	415	487
460	416	486
461	416	485
462	417	483
463	417	482
464	418	481
465	419	480
466	419	478
467	420	477
468	420	476
469	421	475
470	421	473
471	422	472
472	423	471
473	423	470
474	424	469
475	424	467
476	425	466
477	426	465
478	426	464
479	427	462
480	428	461
481	428	460
482	429	459
483	429	458
484	430	457
485	431	455
486	431	454
487	432	453
488	432	452
489	433	451
490	434	449
491	434	448
492	435	447
493	435	446
494	436	445
495	437	444
496	437	442
497	438	441
498	438	440
499	439	439
500	439	438
501	440	437
502	441	435
503	441	434
504	442	433
505	443	433
506	444	431
507	444	430
508	445	429
509	446	428
510	446	427
511	447	426
512	448	425
513	449	424
514	449	423
515	450	422
516	451	421
517	452	420
518	453	419
519	453	418
520	454	417
521	455	416
522	456	416
523	456	415
524	457	414
525	458	413
526	459	412
527	460	411
528	460	410
529	461	409
530	462	408
531	463	407
532	464	406
533	464	405
534	465	404
535	466	403
536	467	402
537	467	401
538	468	400
539	469	399
540	470	398
541	470	397
542	471	397
543	472	396
544	473	395
545	473	394
546	474	392
547	475	391
548	476	391
549	476	390
550	477	389
551	478	388
552	479	387
553	479	386
554	480	385
555	481	384
556	482	383
557	483	382
558	484	382
559	485	381
560	486	380
561	487	379
562	488	378
563	488	377
564	489	376
565	490	375
566	491	375
567	491	374
568	492	373
569	493	372
570	494	371
571	494	370
572	495	369
573	496	368
574	497	367
575	497	366
576	498	365
577	499	364
578	500	363
579	501	362
580	501	361
581	502	361
582	503	360
583	504	359
584	504	358
585	505	357
586	506	356
587	506	355
588	507	354
589	508	353
590	509	352
591	510	351
592	510	350
593	511	349
594	512	348
595	512	347
596	513	346
597	514	345
598	515	344
599	516	344
600	516	343
601	517	342
602	518	341
603	518	340
604	519	339
605	520	338
606	521	337
607	522	336
608	523	335
609	523	334
610	524	333
611	525	332
612	525	332
613	526	331
614	527	330
615	529	329
616	530	329
617	531	328
618	532	327
619	533	326
620	534	326
621	534	325
622	535	324
623	536	323
624	537	322
625	538	321
626	539	320
627	540	319
628	540	318
629	541	318
630	542	317
631	543	316
632	544	315
633	546	315
634	546	314
635	547	313
636	548	312
637	548	311
638	549	310
639	550	309
640	551	308
641	552	308
642	553	307
643	553	306
